Pos.,Veículo,Categoria,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
1º,Fiat Strada,Comercial Leve / Picape,9231,9370,10268,12581,9918,9697,9439,9111,5772,6130,8535,9060,109112
2º,Hyundai HB20,Hatch,7936,7717,8012,6849,7290,7609,7799,6795,7147,5844,5540,7926,86464
3º,Fiat Argo,Hatch,5021,6221,4995,5383,10929,9382,10873,7711,4911,8381,6340,4509,84656
4º,Jeep Renegade,SUV,7091,5834,6186,6634,7361,7504,6855,6710,4503,6723,4233,4293,73927
5º,Chevrolet Onix,Hatch,10566,10260,7933,6402,3820,2532,1387,410,4311,5157,9326,11529,73633
6º,Jeep Compass,SUV,5029,4634,5211,5504,6135,6046,6670,6819,6823,6097,5287,6668,70923
7º,Fiat Toro,Comercial Leve / Picape,5233,5236,6708,6682,3942,5909,7030,6685,6852,5187,5921,5139,70914
8º,Volkswagen Gol,Hatch,6277,5847,6891,6420,6795,4742,1805,4082,3141,5039,6866,8329,66234
9º,Fiat Mobi,Hatch,4784,6015,6725,6861,7443,7529,8059,7538,4574,2945,638,2744,65855
10º,Hyundai Creta,SUV,4067,4826,6173,5544,6983,5902,4268,4822,4550,5492,6099,6038,64764
11º,Volkswagen T-Cross,SUV,5241,5524,5289,4325,5486,3318,3392,6698,5733,6008,4725,6574,62313
12º,Chevrolet Onix Plus,Sedã,7139,6501,5450,4896,3367,1525,707,267,3747,4494,7521,9105,54719
13º,Renault Kwid,Hatch,3896,4905,5094,4358,4852,6083,4865,3764,1963,2655,3712,6775,52922
14º,Chevrolet Tracker,SUV,4593,5042,6410,5377,4718,990,244,1293,3936,4151,6073,7936,50763
15º,Toyota Hilux,Comercial Leve / Picape,3301,2663,3233,3373,3132,3535,4576,4363,4396,3814,4103,5408,45897
16º,Toyota Corolla,Sedã,2224,2817,4109,3418,3790,3544,3925,4354,2280,3014,3505,4922,41902
17º,Honda HR-V,SUV,2658,3703,3728,3095,3095,2469,2338,3878,3502,3381,2868,3696,38411
18º,Volkswagen Nivus,SUV,3481,3467,3918,3413,2836,2823,3505,3626,3356,3485,1251,1508,36669
19º,Nissan Kicks,SUV,3072,3230,3136,3602,2879,3250,3029,2955,2903,2337,3556,2578,36527
20º,Chevrolet S10,Comercial Leve / Picape,2520,1602,1409,1987,1946,3321,4142,4798,4234,3775,3103,2221,35058
21º,Toyota Corolla Cross,SUV,0,0,37,1889,3678,4710,5068,4789,3050,2999,3454,4581,34255
22º,Volkswagen Voyage,Sedã,2192,2107,3695,2437,2850,1552,382,1594,872,2968,3357,4588,28594
23º,Fiat Cronos,Sedã,1031,450,807,591,1968,5404,2586,1855,2302,2816,3545,4535,27890
24º,Volkswagen Saveiro,Comercial Leve / Picape,2497,2523,2910,2253,2457,2932,1409,1561,1389,2174,2096,2554,26755
25º,Hyundai HB20S,Sedã,1915,1934,2010,1721,1934,2579,2408,2197,2269,1716,2011,2876,25570
26º,Renault Duster,SUV,1536,1436,2624,2414,2588,2353,2332,945,1056,1408,1764,1803,22459
27º,Toyota Yaris,Hatch,1838,1963,2281,1949,2176,2046,2285,1655,1026,1087,1286,1538,21130
28º,Fiat Fiorino,Comercial Leve / Furgão,1685,2053,1949,1227,1591,1923,1609,1790,2316,1775,1522,1162,20602
29º,Volkswagen Virtus,Sedã,1903,2162,2606,2345,2058,1952,1929,1458,1241,1409,738,770,20571
30º,Fiat Uno,Hatch,2059,1963,4451,1569,2667,2632,1404,1894,323,363,98,1135,20558
31º,Ford Ranger,Comercial Leve / Picape,1926,1307,2386,2007,1430,747,1827,2180,1350,1442,1610,2289,20501
32º,Citroën C4 Cactus,SUV,487,587,1125,1452,1500,2151,2285,1690,1542,1556,2457,2721,19553
33º,Volkswagen Polo,Hatch,2460,2555,3076,2516,2093,1554,1392,937,759,1049,579,240,19210
34º,Honda Civic,Sedã,1732,1677,1017,859,1529,1939,1785,1578,1891,1657,1588,1697,18949
35º,Volkswagen Fox,Hatch,1283,1309,2690,2057,2403,1624,1321,926,2334,1595,320,71,17933
36º,Peugeot 208,Hatch,778,628,778,991,1141,1738,1637,1220,1697,2270,1653,1814,16345
37º,Fiat Grand Siena,Sedã,1257,1198,1351,999,1164,829,1394,1391,1192,946,1499,2138,15358
38º,Toyota SW4,SUV,701,846,1057,1180,1087,1165,1308,1212,1155,1149,1215,1568,13643
39º,Mitsubishi L200 Triton,Comercial Leve / Picape,596,648,1063,1045,1242,1195,1077,1045,1276,1008,1407,1561,13163
40º,Chevrolet Spin,Monovolume,782,717,1032,1134,2362,2007,1175,435,460,612,758,1538,13012
41º,CAOA Chery Tiggo 5X,SUV,961,642,822,993,1133,967,1109,1495,1121,1384,991,899,12517
