Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
1º,Fiat Strada,7000,6837,9935,8051,9716,9007,10387,12870,12835,11874,11518,10573,120603
2º,Volkswagen Polo,2115,3762,8197,6063,7636,9949,16471,8220,9515,11123,10197,17999,111247
3º,Chevrolet Onix,7162,6084,8283,7376,6947,8261,10260,8345,8033,10657,9802,10839,102049
4º,Hyundai HB20,4840,2992,8363,7143,4245,6420,12126,8053,7622,7421,10057,9627,88909
5º,Chevrolet Onix Plus,6164,5125,7104,5295,5624,6419,6412,7055,6788,7114,5423,6375,74898
6º,Fiat Mobi,4208,4074,6384,4686,4196,6895,8582,6593,6016,8037,6367,7395,73433
7º,Volkswagen T-Cross,4454,4294,5420,4592,6012,7264,8553,5452,5365,6724,6525,7792,72447
8º,Fiat Argo,4282,4536,6171,5475,4710,6747,7159,5892,5938,5257,5335,5218,66720
9º,Chevrolet Tracker,5296,3769,5431,4078,5436,4957,5438,6372,6537,6669,5899,6769,66651
10º,Hyundai Creta,4969,4606,5851,4660,5268,4597,5314,5195,4444,5354,6989,8579,65826
11º,Renault Kwid,3307,3827,6704,4152,2725,5933,6602,4569,5032,6394,5972,8104,63321
12º,Jeep Compass,4139,4430,6988,4898,5560,4338,4707,5315,4415,4640,5751,3937,59118
13º,Volkswagen Nivus,3100,2774,3210,3702,4340,3751,6498,4936,4771,4957,4421,5646,52106
14º,Fiat Toro,3281,3191,5607,3812,4986,4411,4132,4639,4042,4087,4418,4708,51314
15º,Nissan Kicks,2984,3495,4844,3055,4212,3473,4752,4136,4706,6115,4189,4820,50781
16º,Fiat Cronos,2481,1653,3442,3701,2950,4969,5036,5093,4602,4929,5572,6332,50760
17º,Honda HR-V,698,1709,4063,4688,4578,4810,4983,5775,4583,4049,3924,4201,48061
18º,Jeep Renegade,3049,3019,4674,3219,4279,4084,5556,5044,3757,3249,4236,3234,47400
19º,Volkswagen Saveiro,2714,2092,2637,3152,3873,4638,5337,4593,4973,4214,3095,5283,46601
20º,Toyota Hilux,3435,2814,4362,3199,3986,3732,4354,4435,3735,4026,3783,4344,46205
21º,Fiat Pulse,3015,2761,4276,3504,3490,4401,3994,3742,3216,4157,4719,4537,45812
22º,Toyota Corolla,2238,2847,3865,3261,3891,3751,3812,4175,3471,3996,3571,4050,42928
23º,Toyota Corolla Cross,2604,3335,4511,3946,3731,3357,3630,3247,2996,3682,2648,4389,42076
24º,Fiat Fastback,2707,2393,3605,2466,2943,3384,3635,4308,3670,3640,3709,3949,40409
25º,Hyundai HB20S,1684,1098,2025,1916,1384,1393,4811,2294,3855,3442,3345,3035,30282
26º,Chevrolet Montana,90,350,3988,3087,3593,2957,2948,2884,2455,2924,2263,2483,30022
27º,Peugeot 208,1201,1163,2101,1901,2463,2718,3104,3318,2287,2832,2910,2636,28634
28º,Volkswagen Virtus,490,614,1562,2091,2744,2188,2729,3107,2601,2910,2431,3629,27096
29º,Citroen C3,1488,1313,2035,1965,1607,2930,3030,2182,1990,2714,3307,2020,26581
30º,Renault Duster,1495,2152,2031,1377,2231,1488,1801,1973,2598,2891,3295,3175,26507
31º,Chevrolet S10,2039,1512,2701,2752,2376,2436,1937,2037,1635,2037,1373,3133,25968
32º,Toyota Yaris HB,2072,1576,2016,1818,2458,1940,1609,1996,1826,1862,1405,2762,23340
33º,Fiat Fiorino,1303,911,1634,1374,1071,2275,1159,1884,2524,2051,2194,3485,21865
34º,Toyota Yaris Sedan,1099,773,932,891,1068,1294,2505,2597,2551,2426,1734,2702,20572
35º,Ford Ranger,977,1025,1978,1361,1561,1425,1131,1825,1890,2591,2141,2451,20356
36º,Chevrolet Spin,1415,1309,1781,1084,1492,1510,2026,2341,1862,2051,1630,1814,20315
37º,Jeep Commander,1289,1577,2522,1835,1955,1338,1408,1922,1545,1577,1736,1185,19889
38º,Toyota Hilux SW4,937,915,1412,1113,1238,1258,1261,1491,1370,1548,1544,1922,16009
39º,Volkswagen Taos,1184,995,855,792,1535,1069,1203,1481,1387,1865,1863,1761,15990
40º,Caoa Chery Tiggo 5X,293,293,479,516,644,1571,1201,968,1293,2483,2433,2225,14399
41º,Renault Oroch,716,718,1208,1158,1135,730,1360,1395,1073,991,891,1359,12734
42º,Mitsubishi L200,783,787,952,810,937,965,964,1004,1282,1206,1152,1821,12663
43º,Honda City,1091,1084,1249,964,1151,1060,1060,935,682,751,887,931,11845
44º,Honda City Hatch,1442,1232,1340,867,968,791,673,647,683,684,662,813,10802
45º,Renault Master,664,482,789,887,1072,931,896,1128,874,980,774,1133,10610
46º,GWM Haval H6,,,,,960,969,953,1452,1307,1450,1295,2085,10471
47º,Caoa Chery Tiggo 8,588,577,653,544,675,677,901,1290,750,678,1057,1155,9545
48º,Nissan Versa,313,370,741,632,674,842,1086,977,662,767,772,1024,8860
49º,RAM Rampage,,,,,,13,15,175,376,2542,3026,2490,8637
50º,Nissan Frontier,661,429,571,452,810,955,748,803,601,648,689,1024,8391
