Histórico de Indicadores Econômicos (2020 - 2025);;;
Ano;Mês;IPCA Mensal (%);Taxa Selic Meta (% a.a.)
2020;Janeiro;0,21%;4,50%
2020;Fevereiro;0,25%;4,25%
2020;Março;0,07%;3,75%
2020;Abril;-0,31%;3,75%
2020;Maio;-0,38%;3,00%
2020;Junho;0,26%;2,25%
2020;Julho;0,36%;2,25%
2020;Agosto;0,24%;2,00%
2020;Setembro;0,64%;2,00%
2020;Outubro;0,86%;2,00%
2020;Novembro;0,89%;2,00%
2020;Dezembro;1,35%;2,00%
2021;Janeiro;0,25%;2,00%
2021;Fevereiro;0,86%;2,00%
2021;Março;0,93%;2,75%
2021;Abril;0,31%;2,75%
2021;Maio;0,83%;3,50%
2021;Junho;0,53%;4,25%
2021;Julho;0,96%;4,25%
2021;Agosto;0,87%;5,25%
2021;Setembro;1,16%;6,25%
2021;Outubro;1,25%;7,75%
2021;Novembro;0,95%;7,75%
2021;Dezembro;0,73%;9,25%
2022;Janeiro;0,54%;9,25%
2022;Fevereiro;1,01%;10,75%
2022;Março;1,62%;11,75%
2022;Abril;1,06%;11,75%
2022;Maio;0,47%;12,75%
2022;Junho;0,67%;13,25%
2022;Julho;-0,68%;13,25%
2022;Agosto;-0,36%;13,75%
2022;Setembro;-0,29%;13,75%
2022;Outubro;0,59%;13,75%
2022;Novembro;0,41%;13,75%
2022;Dezembro;0,62%;13,75%
2023;Janeiro;0,53%;13,75%
2023;Fevereiro;0,84%;13,75%
2023;Março;0,71%;13,75%
2023;Abril;0,61%;13,75%
2023;Maio;0,23%;13,75%
2023;Junho;-0,08%;13,75%
2023;Julho;0,12%;13,75%
2023;Agosto;0,23%;13,25%
2023;Setembro;0,26%;12,75%
2023;Outubro;0,24%;12,25%
2023;Novembro;0,28%;12,25%
2023;Dezembro;0,56%;11,75%
2024;Janeiro;0,42%;11,25%
2024;Fevereiro;0,83%;11,25%
2024;Março;0,16%;10,75%
2024;Abril;0,38%;10,75%
2024;Maio;0,46%;10,50%
2024;Junho;0,21%;10,50%
2024;Julho;0,38%;10,50%
2024;Agosto;-0,02%;10,50%
2024;Setembro;0,44%;10,75%
2024;Outubro;0,56%;10,75%
2024;Novembro;0,62%;11,25%
2024;Dezembro;0,43%;11,75%
2025;Janeiro;0,53%;12,25%
2025;Fevereiro;0,46%;12,75%
2025;Março;0,39%;13,25%
2025;Abril;0,31%;13,25%
2025;Maio;0,44%;13,75%
2025;Junho;0,35%;14,00%
2025;Julho;0,22%;14,25%
2025;Agosto;0,18%;14,50%
2025;Setembro;0,48%;14,75%
2025;Outubro;0,52%;14,75%
2025;Novembro;0,40%;15,00%
2025;Dezembro;0,33%;15,00%
